#separator:tab
#html:false
【国121】委身	置身，寄身
【国269】靳	吝惜       昔袁孝尼尝从吾学《广陵散》），吾每靳固之
【国270】夺	使之改变       先立乎大者，则其小者不能夺也                 失，耽误       百亩之田，勿夺其时，数口之家可以无饥矣
【国271】局	胸襟       宽雅有局度                 近，临近       路途虽局
【国272】高蹈	远行                        指隐居       赋诗归来，高蹈独善
【国273】滋	增加，增多       滋其懈怠                 更加       由此滋骄
【国274】枭	勇猛，勇悍                        斩首示众，诛灭       咸枭其首
【国275】渝	[yú] 改变，变更       俭约之志始终而渝也
【国276】审	周密，详细       博学之，审问之                 清楚，明白       挽必圆，祝必审                 慎重，审慎       授官不审，则民闲其治
【国277】偶	匹敌，对等，相当       有人于此，文偶仲舒，论次君山                 伙伴，同伙       君子绝之，不与为偶                 迎合，投合       不希指偶俗
【国278】除服	守孝期满，除去丧服
【国279】丁艰	即 “丁忧” 遭父母之丧
【国280】峭鲠 gěng	严正刚直       性峭鲠，议论无所屈
【国281】出	在外，对外       出则无法家拂士                 特指出仕，出任                        驱逐，放逐       遂出武穆之族                 释放       擅出汉所疑囚                 支出，拿出       量入为出                 超出，高出       古之圣人，其出人也远矣
【国282】逋	[bū] 逃亡       六年其逋逃回其国                 [bū] 拖欠       逋租匿役                 [bū] 拖延，推迟       久逋王命
【国283】逋慢	怠慢，不守法令
【国284】输	运输，输送                        交纳、献纳       岁责里胥代输
【国285】里胥	官府中的小吏       岁责里胥代里胥
【国286】论列	列举罪状告发       良肱论列之，遂蠲其籍
【国287】老	衰老，疲敝，用以形容军队       且楚师老矣，必败                 老成，老练       中朝大官老于事
【国288】籍	登记，记录       再拜受命而籍之                 赋税       遂蠲其籍
【国289】藉	[jiè] 抚慰                        [jiè] 凭借，借助                        [jiè] 假使，如果，“藉第”，“藉使”       藉第令毋斩，而戍死者固十六七
【国290】谮 zèn 润	诬陷诽谤别人
【国291】越	远，远离                        违背       情貌相越                 扬，高扬       其声清越
【国292】趣	qū跑，疾走                        奔赴，奔向       冒流矢，趣水火                 追逐，追求       农赴时，商趣利                 取，“趣舍”即取舍       趣舍不得无定，谓之无常                 [qù] 旨趣，意味，志向       钟子期辄穷其趣                 [qù] 乐趣，趣味                        [cù] 催促，促使）（知人不忠，趣之为乱）；副词，急促，赶快
【国293】孰与，孰若	表比较，两者相比，询问哪一个更甚       我孰与城北徐公美                 表抉择，倾向于肯定后者       从天而颂之，孰与制天命而用之？
【国294】掾	[yuàn] 古代官府中属官的统称       辟之为掾
【国295】近习	近臣，君主亲近的人
【国296】养素	涵养本性
【国297】糗 qiǔ	炒熟的米麦等干粮，或干粮       糗，熬米麦也。——《说文》糗饵粉飺。——《周礼·籩人》糗一筐。——《国语·楚语》舜之饭糗茹草也。——《孟子·尽心下》
【国298】按	抑制，遏制       按兵而不动                 考察       按之当今之务
【国299】升斗	比喻微薄的俸禄       升斗之禄                 极少的粮食
【国300】猎食	猎取财物                        图谋财物       吾非等猎食者
【国301】耗	亏损，消耗                        音息，消息，音讯       噩耗
【国302】漫	放荡，放纵                        胡乱，随意，聊且       漫卷诗书喜欲狂
【国303】褊心	心胸狭小       杨义之，而内顾增忧，褊心不能无少望
【国304】殊	死       士卒殊死战，皆以一当十。《史记·项羽本纪》                 断绝       音尘殊绝。《后汉书·班超传》                 超过       年殊七十。《史记·张丞相列传》                 区别       不殊内外。《汉书·刑法志》                 副词，甚，很       老臣今者殊不欲食，乃自强步。《战国策·赵策四》                 副词，尚，犹       居数日，殊不言赠别。《史记·项羽本纪》
【国305】县官	指朝廷，官府       今内使郡不得食马粟，没入县官                 特指皇帝
【国306】风	声势，气势       诸议者皆望风畏惧                 教化，影响       导民以礼，风之以乐                 放，走失       唯是风马牛不相及也
【国307】形	表现，显露       有诸内必形诸外                 对照，比较       故前后相形，优劣舛错
